version,nthread,num_steps,runtime
"reduce",1,1000000,0.00091499998
"atomic",1,1000000,0.0098090004
"n_reduce",1,1000000,0.00088599999
"critical",1,1000000,  0.012725
"reduce",1,1000000,0.00088800001
"atomic",1,1000000,    0.0101
"n_reduce",1,1000000,0.00088499999
"critical",1,1000000,  0.012689
"reduce",1,1000000,0.00088599999
"atomic",1,1000000,0.0097890003
"n_reduce",1,1000000,0.00089099997
"critical",1,1000000,  0.012673
"reduce",1,1000000,0.00088599999
"atomic",1,1000000,0.0098090004
"n_reduce",1,1000000,  0.000895
"critical",1,1000000,   0.01265
"reduce",1,1000000,  0.000879
"atomic",1,1000000,0.0098310001
"n_reduce",1,1000000,0.00087799999
"critical",2,1000000,  0.032674
"reduce",2,1000000,0.00051799999
"atomic",2,1000000,0.033604998
"n_reduce",2,1000000,  0.000497
"critical",2,1000000,  0.034339
"reduce",2,1000000,0.00048700001
"atomic",2,1000000,  0.037216
"n_reduce",2,1000000,0.00051500002
"critical",2,1000000,  0.027019
"reduce",2,1000000,0.00051599997
"atomic",2,1000000,0.039009001
"n_reduce",2,1000000,0.00051099999
"critical",2,1000000,  0.026399
"reduce",2,1000000,0.00048399999
"atomic",2,1000000,   0.03585
"n_reduce",2,1000000,0.00050899998
"critical",2,1000000,0.034379002
"reduce",2,1000000,0.00052300002
"atomic",2,1000000,  0.037324
"n_reduce",2,1000000,0.00048399999
"critical",2,1000000,0.038715001
"reduce",2,1000000,  0.000504
"atomic",2,1000000,0.039406002
"n_reduce",2,1000000,0.00048399999
"critical",2,1000000,0.027203999
"reduce",2,1000000,0.00057099998
"atomic",2,1000000,  0.037887
"n_reduce",2,1000000,0.00049300003
"critical",2,1000000,  0.034959
"reduce",2,1000000,0.00051899999
"atomic",2,1000000,0.030603001
"n_reduce",2,1000000,0.00052100001
"critical",2,1000000,  0.028826
"reduce",2,1000000,0.00049200002
"atomic",2,1000000,0.043710001
"n_reduce",2,1000000,0.00053199998
"critical",2,1000000,0.025002999
"reduce",2,1000000,0.00048799999
"atomic",2,1000000,0.044240002
"n_reduce",2,1000000,0.00053000002
"critical",4,1000000,0.067226999
"reduce",4,1000000,0.00030300001
"atomic",4,1000000,  0.047086
"n_reduce",4,1000000,0.00032699999
"critical",4,1000000,0.066303998
"reduce",4,1000000,0.00032200001
"atomic",4,1000000,  0.053801
"n_reduce",4,1000000,0.00031599999
"critical",4,1000000,  0.064149
"reduce",4,1000000,  0.000317
"atomic",4,1000000,0.043542001
"n_reduce",4,1000000,  0.000306
"critical",4,1000000,0.063305996
"reduce",4,1000000,0.00053700001
"atomic",4,1000000,0.044066001
"n_reduce",4,1000000,0.00030300001
"critical",4,1000000,0.064900003
"reduce",4,1000000,   0.00031
"atomic",4,1000000,0.043900002
"n_reduce",4,1000000,  0.000321
"critical",4,1000000,0.063971996
"reduce",4,1000000,0.00053999998
"atomic",4,1000000,0.046677001
"n_reduce",4,1000000,0.00030799999
"critical",4,1000000,0.065206997
"reduce",4,1000000,0.00031500001
"atomic",4,1000000,0.047368001
"n_reduce",4,1000000,0.00031199999
"critical",4,1000000,0.064724997
"reduce",4,1000000,  0.000313
"atomic",4,1000000,0.041487999
"n_reduce",4,1000000,0.00053999998
"critical",4,1000000,0.059599999
"reduce",4,1000000,0.00030799999
"atomic",4,1000000,0.046015002
"n_reduce",4,1000000,0.00038700001
"critical",4,1000000,  0.066496
"reduce",4,1000000,0.00069100002
"atomic",4,1000000,0.045559999
"n_reduce",4,1000000,0.00053199998
"critical",8,1000000,0.086444996
"reduce",8,1000000,0.00038899999
"atomic",8,1000000,0.046734001
"n_reduce",8,1000000,  0.000405
"critical",8,1000000,0.093783997
"reduce",8,1000000,  0.000375
"atomic",8,1000000,0.044900998
"n_reduce",8,1000000,0.00039500001
"critical",8,1000000,0.087465003
"reduce",8,1000000,   0.00039
"atomic",8,1000000,0.050540999
"n_reduce",8,1000000,  0.000394
"critical",8,1000000,  0.088739
"reduce",8,1000000,   0.00042
"atomic",8,1000000,  0.041722
"n_reduce",8,1000000,  0.001463
"critical",8,1000000,  0.086066
"reduce",8,1000000,0.00040399999
"atomic",8,1000000,0.052096002
"n_reduce",8,1000000,  0.000416
"critical",8,1000000,0.14184199
"reduce",8,1000000,0.00047100001
"atomic",8,1000000,  0.049943
"n_reduce",8,1000000,  0.000378
"critical",8,1000000,0.085891999
"reduce",8,1000000,0.00040700001
"atomic",8,1000000,0.041186001
