name,nb_threads,n,runtime
3_2 parallelized n r,2,2,0.326218
3 sequential,2,2,0.482173
3_1 parallelized nodes,2,2,0.355006
3_2 parallelized n r,2,2,0.400575
3 sequential,2,2,0.566115
3_1 parallelized nodes,2,2,0.336424
3_2 parallelized n r,2,2,0.294976
3 sequential,2,2,0.456708
3_1 parallelized nodes,2,2,0.309515
3_2 parallelized n r,2,2,0.302145
3 sequential,4,2,0.46253
3_1 parallelized nodes,4,2,0.253373
3_2 parallelized n r,4,2,0.173602
3 sequential,4,2,0.45355
3_1 parallelized nodes,4,2,0.238971
3_2 parallelized n r,4,2,0.195322
3 sequential,4,2,0.450379
3_1 parallelized nodes,4,2,0.241068
3_2 parallelized n r,4,2,0.20504
3 sequential,4,2,0.473757
3_1 parallelized nodes,4,2,0.249646
3_2 parallelized n r,4,2,0.183563
3 sequential,4,2,0.456664
3_1 parallelized nodes,4,2,0.232034
3_2 parallelized n r,4,2,0.216443
3 sequential,4,2,0.448258
3_1 parallelized nodes,4,2,0.238978
3_2 parallelized n r,4,2,0.183036
3 sequential,4,2,0.450437
3_1 parallelized nodes,4,2,0.268331
3_2 parallelized n r,4,2,0.194377
3 sequential,4,2,0.447516
3_1 parallelized nodes,4,2,0.238378
3_2 parallelized n r,4,2,0.193506
3 sequential,4,2,0.453947
3_1 parallelized nodes,4,2,0.227281
3_2 parallelized n r,4,2,0.185875
3 sequential,4,2,0.447997
3_1 parallelized nodes,4,2,0.234007
3_2 parallelized n r,4,2,0.195606
3 sequential,8,2,0.444236
3_1 parallelized nodes,8,2,0.254934
3_2 parallelized n r,8,2,0.146647
3 sequential,8,2,0.458681
3_1 parallelized nodes,8,2,0.226056
3_2 parallelized n r,8,2,0.157126
3 sequential,8,2,0.445906
3_1 parallelized nodes,8,2,0.235983
3_2 parallelized n r,8,2,0.142401
3 sequential,8,2,0.454608
3_1 parallelized nodes,8,2,0.228048
3_2 parallelized n r,8,2,0.149123
3 sequential,8,2,0.457478
3_1 parallelized nodes,8,2,0.249599
3_2 parallelized n r,8,2,0.124615
3 sequential,8,2,0.45049
3_1 parallelized nodes,8,2,0.238207
3_2 parallelized n r,8,2,0.130586
3 sequential,8,2,0.446396
3_1 parallelized nodes,8,2,0.233185
3_2 parallelized n r,8,2,0.144648
3 sequential,8,2,0.445295
3_1 parallelized nodes,8,2,0.258191
3_2 parallelized n r,8,2,0.139944
3 sequential,8,2,0.457309
3_1 parallelized nodes,8,2,0.236955
3_2 parallelized n r,8,2,0.143561
3 sequential,8,2,0.452615
3_1 parallelized nodes,8,2,0.22942
3_2 parallelized n r,8,2,0.136194
3 sequential,1,3,0.85831
3_1 parallelized nodes,1,3,0.865704
3_2 parallelized n r,1,3,0.852941
3 sequential,1,3,0.845622
3_1 parallelized nodes,1,3,0.819061
3_2 parallelized n r,1,3,0.833459
3 sequential,1,3,0.818009
